iter	Passed	Remaining
0	142	14155
1	144	7056
2	145	4689
3	146	3504
4	147	2793
5	147	2318
6	148	1978
7	149	1722
8	150	1523
9	151	1364
10	152	1233
11	153	1123
12	154	1031
13	155	952
14	156	884
15	156	823
16	157	770
17	158	723
18	159	680
19	160	641
20	161	606
21	162	574
22	163	546
23	163	519
24	164	494
25	165	471
26	166	450
27	167	430
28	168	412
29	169	395
30	170	379
31	171	364
32	172	349
33	173	336
34	174	323
35	174	311
36	175	299
37	176	288
38	177	277
39	178	267
40	179	258
41	180	249
42	181	240
43	182	231
44	183	223
45	183	215
46	184	208
47	185	201
48	186	194
49	187	187
50	188	180
51	189	174
52	190	168
53	191	162
54	192	157
55	193	151
56	193	146
57	194	141
58	195	136
59	196	131
60	197	126
61	198	121
62	199	117
63	200	112
64	201	108
65	202	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	208	80
72	209	77
73	210	73
74	211	70
75	211	66
76	212	63
77	213	60
78	214	57
79	215	53
80	216	50
81	217	47
82	218	44
83	219	41
84	220	38
85	221	36
86	222	33
87	223	30
88	224	27
89	225	25
90	226	22
91	227	19
92	228	17
93	228	14
94	229	12
95	230	9
96	231	7
97	232	4
98	233	2
99	233	0
