iter	Passed	Remaining
0	138	138795
1	140	70194
2	142	47243
3	143	35746
4	144	28814
5	146	24269
6	147	20925
7	148	18416
8	149	16448
9	150	14865
10	150	13572
11	151	12496
12	152	11582
13	153	10793
14	153	10111
15	154	9513
16	155	8985
17	156	8513
18	156	8088
19	157	7707
20	157	7363
21	158	7054
22	159	6774
23	160	6509
24	160	6277
25	161	6059
26	162	5850
27	162	5655
28	163	5474
29	164	5304
30	164	5146
31	165	4997
32	165	4857
33	166	4726
34	166	4602
35	167	4485
36	168	4374
37	168	4269
38	169	4170
39	169	4075
40	170	3985
41	171	3900
42	171	3819
43	172	3741
44	172	3667
45	173	3601
46	174	3540
47	175	3478
48	176	3418
49	176	3360
50	177	3303
51	178	3248
52	178	3194
53	179	3143
54	180	3092
55	180	3043
56	181	2996
57	181	2951
58	182	2907
59	182	2864
60	183	2823
61	183	2783
62	184	2744
63	185	2707
64	185	2671
65	186	2635
66	186	2601
67	187	2569
68	188	2541
69	188	2510
70	189	2479
71	190	2449
72	190	2420
73	191	2392
74	191	2364
75	192	2338
76	192	2312
77	193	2286
78	194	2262
79	194	2238
80	195	2214
81	195	2191
82	196	2165
83	196	2144
84	197	2122
85	197	2101
86	198	2081
87	198	2061
88	199	2042
89	200	2023
90	200	2004
91	201	1986
92	201	1968
93	202	1952
94	203	1938
95	204	1921
96	204	1904
97	205	1888
98	205	1872
99	206	1856
100	206	1841
101	207	1826
102	208	1811
103	208	1797
104	209	1783
105	209	1769
106	210	1755
107	210	1741
108	211	1728
109	212	1715
110	212	1702
111	213	1690
112	213	1677
113	214	1665
114	214	1653
115	215	1642
116	215	1630
117	216	1618
118	217	1607
119	217	1597
120	218	1588
121	219	1576
122	219	1566
123	220	1555
124	220	1545
125	221	1535
126	221	1525
127	222	1515
128	223	1505
129	223	1496
130	224	1486
131	224	1477
132	225	1468
133	225	1459
134	226	1450
135	226	1441
136	227	1433
137	228	1424
138	228	1416
139	229	1408
140	229	1400
141	230	1391
142	230	1383
143	231	1375
144	232	1368
145	232	1361
146	233	1354
147	234	1347
148	234	1340
149	235	1332
150	235	1325
151	236	1318
152	236	1311
153	237	1304
154	238	1297
155	238	1291
156	239	1284
157	239	1277
158	240	1271
159	240	1264
160	241	1257
161	241	1251
162	242	1245
163	243	1238
164	243	1232
165	244	1227
166	244	1221
167	245	1215
168	245	1209
169	246	1203
170	247	1198
171	248	1194
172	248	1189
173	249	1183
174	249	1178
175	250	1173
176	251	1167
177	251	1162
178	252	1157
179	252	1151
180	253	1146
181	254	1141
182	254	1136
183	255	1131
184	255	1126
185	256	1121
186	256	1117
187	257	1112
188	258	1107
189	258	1102
190	259	1098
191	260	1094
192	260	1090
193	261	1086
194	262	1081
195	262	1077
196	263	1074
197	264	1069
198	264	1065
199	265	1060
200	265	1056
201	266	1052
202	266	1047
203	267	1043
204	268	1039
205	268	1035
206	269	1030
207	269	1026
208	270	1022
209	270	1018
210	271	1014
211	271	1010
212	272	1006
213	273	1002
214	273	999
215	274	995
216	274	991
217	275	987
218	275	983
219	276	980
220	277	976
221	277	973
222	278	970
223	279	967
224	279	963
225	280	960
226	280	956
227	281	952
228	282	949
229	282	946
230	283	942
231	283	939
232	284	935
233	284	932
234	285	929
235	286	926
236	286	922
237	287	919
238	287	916
239	288	913
240	288	910
241	289	906
242	290	903
243	290	900
244	291	897
245	291	894
246	292	891
247	293	889
248	293	886
249	294	883
250	295	880
251	295	877
252	296	874
253	296	871
254	297	868
255	297	865
256	298	862
257	299	859
258	299	857
259	300	854
260	300	851
261	301	848
262	302	846
263	302	843
264	303	841
265	303	838
266	304	835
267	305	833
268	305	830
269	306	828
270	307	826
271	308	825
272	308	822
273	309	820
274	310	817
275	310	815
276	311	812
277	312	810
278	312	808
279	313	806
280	314	803
281	314	801
282	315	799
283	316	796
284	316	794
285	317	792
286	318	790
287	318	788
288	319	785
289	320	783
290	320	781
291	321	779
292	322	778
293	323	776
294	324	774
295	324	772
296	325	770
297	326	768
298	326	766
299	327	764
300	328	761
301	328	759
302	329	757
303	330	755
304	330	753
305	331	752
306	332	750
307	333	748
308	333	746
309	334	744
310	335	742
311	335	740
312	336	738
313	337	737
314	338	735
315	338	733
316	339	731
317	340	729
318	340	727
319	341	725
320	341	723
321	342	721
322	343	719
323	343	717
324	344	715
325	345	713
326	345	711
327	346	709
328	347	707
329	347	705
330	348	703
331	348	701
332	349	700
333	350	698
334	350	696
335	351	694
336	352	693
337	353	691
338	353	689
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	358	677
346	359	675
347	359	673
348	360	671
349	360	670
350	361	668
351	362	666
352	362	665
353	363	663
354	364	661
355	364	659
356	365	658
357	366	656
358	366	654
359	367	653
360	368	652
361	369	650
362	369	648
363	370	647
364	370	645
365	371	643
366	372	641
367	372	639
368	373	638
369	373	636
370	374	635
371	375	633
372	375	631
373	376	630
374	377	628
375	377	627
376	378	625
377	379	624
378	380	622
379	380	621
380	381	619
381	382	618
382	382	616
383	383	615
384	384	613
385	384	611
386	385	610
387	385	608
388	386	606
389	386	605
390	387	603
391	388	601
392	388	600
393	389	598
394	389	596
395	390	595
396	390	593
397	391	592
398	391	590
399	392	588
400	393	587
401	393	585
402	394	584
403	394	582
404	395	580
405	396	579
406	396	578
407	397	576
408	398	575
409	398	573
410	399	572
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	404	556
421	405	555
422	405	553
423	406	552
424	407	550
425	407	549
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	411	540
432	411	539
433	412	538
434	413	536
435	413	535
436	414	534
437	415	532
438	415	531
439	416	530
440	416	528
441	417	527
442	418	525
443	418	524
444	419	522
445	419	521
446	420	520
447	420	518
448	421	517
449	422	515
450	422	514
451	423	513
452	423	511
453	424	510
454	424	508
455	425	507
456	426	506
457	426	505
458	427	504
459	428	502
460	428	501
461	429	500
462	430	498
463	430	497
464	431	496
465	431	494
466	432	493
467	432	492
468	433	490
469	433	489
470	434	488
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	437	480
477	438	478
478	439	477
479	439	476
480	440	474
481	440	473
482	441	472
483	442	471
484	443	470
485	443	469
486	444	468
487	444	466
488	445	465
489	446	464
490	446	462
491	447	461
492	447	460
493	448	459
494	448	457
495	449	456
496	449	455
497	450	454
498	451	452
499	451	451
500	452	450
501	452	449
502	453	447
503	453	446
504	454	445
505	454	444
506	455	442
507	456	441
508	457	441
509	458	440
510	458	438
511	459	437
512	460	436
513	460	435
514	461	434
515	461	433
516	462	432
517	463	430
518	463	429
519	464	428
520	464	427
521	465	426
522	465	424
523	466	423
524	467	422
525	467	421
526	468	420
527	468	419
528	469	417
529	469	416
530	470	415
531	471	414
532	472	413
533	472	412
534	473	411
535	473	410
536	474	409
537	474	407
538	475	406
539	476	405
540	476	404
541	477	403
542	477	402
543	478	400
544	478	399
545	479	398
546	480	397
547	480	396
548	481	395
549	481	394
550	482	393
551	482	391
552	483	390
553	484	389
554	484	388
555	485	387
556	485	386
557	486	385
558	487	384
559	487	383
560	488	382
561	488	381
562	489	379
563	490	378
564	490	377
565	491	376
566	491	375
567	492	374
568	492	373
569	493	372
570	494	371
571	494	370
572	495	368
573	495	367
574	496	366
575	496	365
576	497	364
577	498	363
578	498	362
579	499	361
580	499	360
581	500	359
582	501	358
583	502	357
584	502	356
585	503	355
586	503	354
587	504	353
588	505	352
589	505	351
590	506	350
591	506	349
592	507	348
593	507	347
594	508	346
595	508	345
596	509	343
597	510	342
598	510	341
599	511	340
600	511	339
601	512	338
602	512	337
603	513	336
604	514	335
605	514	334
606	515	333
607	515	332
608	516	331
609	517	330
610	518	329
611	518	328
612	519	327
613	520	327
614	520	326
615	521	325
616	522	324
617	523	323
618	523	322
619	524	321
620	525	320
621	525	319
622	526	318
623	527	317
624	527	316
625	528	315
626	528	314
627	529	313
628	530	312
629	530	311
630	531	310
631	532	309
632	532	308
633	533	307
634	534	306
635	534	306
636	535	305
637	535	304
638	536	303
639	537	302
640	537	301
641	538	300
642	538	299
643	539	298
644	540	297
645	540	296
646	541	295
647	542	294
648	542	293
649	543	292
650	543	291
651	544	290
652	544	289
653	545	288
654	546	287
655	547	286
656	547	285
657	548	284
658	548	284
659	549	283
660	549	282
661	550	281
662	551	280
663	551	279
664	552	278
665	552	277
666	553	276
667	553	275
668	554	274
669	555	273
670	555	272
671	556	271
672	556	270
673	557	269
674	558	268
675	558	267
676	559	266
677	559	265
678	560	264
679	561	264
680	562	263
681	562	262
682	563	261
683	563	260
684	564	259
685	565	258
686	565	257
687	566	256
688	566	255
689	567	254
690	567	253
691	568	253
692	569	252
693	569	251
694	570	250
695	570	249
696	571	248
697	571	247
698	572	246
699	573	245
700	573	244
701	574	243
702	574	242
703	575	241
704	575	240
705	576	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	580	233
713	581	232
714	582	231
715	582	231
716	583	230
717	583	229
718	584	228
719	584	227
720	585	226
721	586	225
722	586	224
723	587	223
724	587	222
725	588	222
726	588	221
727	589	220
728	590	219
729	590	218
730	591	217
731	592	216
732	592	216
733	593	215
734	594	214
735	594	213
736	595	212
737	595	211
738	596	210
739	597	209
740	597	208
741	598	208
742	599	207
743	599	206
744	600	205
745	600	204
746	601	203
747	601	202
748	602	201
749	603	201
750	603	200
751	604	199
752	604	198
753	605	197
754	606	196
755	607	195
756	607	195
757	608	194
758	608	193
759	609	192
760	609	191
761	610	190
762	611	189
763	611	188
764	612	188
765	612	187
766	613	186
767	613	185
768	614	184
769	614	183
770	615	182
771	616	181
772	616	181
773	617	180
774	617	179
775	618	178
776	618	177
777	619	176
778	620	175
779	621	175
780	621	174
781	622	173
782	622	172
783	623	171
784	623	170
785	624	170
786	625	169
787	625	168
788	626	167
789	626	166
790	627	165
791	627	164
792	628	164
793	629	163
794	629	162
795	630	161
796	630	160
797	631	159
798	632	159
799	632	158
800	633	157
801	633	156
802	634	155
803	635	154
804	635	154
805	636	153
806	637	152
807	637	151
808	638	150
809	639	149
810	639	149
811	640	148
812	640	147
813	641	146
814	642	145
815	642	144
816	643	144
817	643	143
818	644	142
819	645	141
820	645	140
821	646	139
822	646	139
823	647	138
824	647	137
825	648	136
826	649	135
827	649	134
828	650	134
829	651	133
830	651	132
831	652	131
832	652	130
833	653	130
834	654	129
835	654	128
836	655	127
837	655	126
838	656	125
839	656	125
840	657	124
841	657	123
842	658	122
843	659	121
844	659	121
845	660	120
846	660	119
847	661	118
848	661	117
849	662	116
850	663	116
851	663	115
852	664	114
853	665	113
854	665	112
855	666	112
856	667	111
857	667	110
858	668	109
859	668	108
860	669	108
861	670	107
862	670	106
863	671	105
864	671	104
865	672	104
866	672	103
867	673	102
868	674	101
869	674	100
870	675	100
871	675	99
872	676	98
873	676	97
874	677	96
875	678	95
876	678	95
877	679	94
878	679	93
879	680	92
880	681	92
881	681	91
882	682	90
883	683	89
884	683	88
885	684	88
886	684	87
887	685	86
888	686	85
889	686	84
890	687	84
891	687	83
892	688	82
893	688	81
894	689	80
895	690	80
896	690	79
897	691	78
898	691	77
899	692	76
900	692	76
901	693	75
902	694	74
903	694	73
904	695	72
905	696	72
906	696	71
907	697	70
908	697	69
909	698	69
910	698	68
911	699	67
912	700	66
913	700	65
914	701	65
915	701	64
916	702	63
917	702	62
918	703	61
919	703	61
920	704	60
921	705	59
922	705	58
923	706	58
924	706	57
925	707	56
926	707	55
927	708	54
928	708	54
929	709	53
930	710	52
931	711	51
932	711	51
933	712	50
934	712	49
935	713	48
936	713	48
937	714	47
938	715	46
939	715	45
940	716	44
941	716	44
942	717	43
943	718	42
944	718	41
945	719	41
946	719	40
947	720	39
948	720	38
949	721	37
950	722	37
951	722	36
952	723	35
953	723	34
954	724	34
955	725	33
956	726	32
957	727	31
958	727	31
959	728	30
960	729	29
961	729	28
962	730	28
963	730	27
964	731	26
965	732	25
966	732	25
967	733	24
968	733	23
969	734	22
970	734	21
971	735	21
972	736	20
973	736	19
974	737	18
975	737	18
976	738	17
977	739	16
978	739	15
979	740	15
980	741	14
981	741	13
982	742	12
983	743	12
984	743	11
985	744	10
986	744	9
987	745	9
988	745	8
989	746	7
990	746	6
991	747	6
992	748	5
993	748	4
994	749	3
995	749	3
996	750	2
997	750	1
998	751	0
999	752	0
